english_word,spanish_word,spanish_meaning_ff,relationship_type,part_of_speech,cultural_domain,first_attestation_english,first_attestation_spanish,jaccard_similarity,levenshtein_similarity,complexity_syllables,complexity_length,complexity_frequency_complexity,complexity_semantic_complexity,complexity_overall_complexity,complexity_syll_component,complexity_freq_component,complexity_semantic_component,complexity_length_component
abacus,ábaco,,cognates,noun,technology_tools,1325,1783,0.429,0.5,3,6,4.35,2,52.5,16.6,21.8,5.7,8.5
abandon,abandonar,,cognates,noun,emotions_psychology,1325,1545,0.833,0.778,3,7,2.98,7,52.5,16.6,14.9,10.6,10.4
abandoned,abandonado,,cognates,adjective,emotions_psychology,1325,1545,0.833,0.8,3,9,2.6,7,53.6,16.6,13,10.6,13.4
abandonment,abandono,,cognates,noun,emotions_psychology,1508,1545,0.625,0.636,4,11,3.6,3,60.1,19.3,18,6.9,15.9
abatis,abatis,,cognates,noun,technology_tools,1700,1759,1,1,1,6,5.67,1,49.2,8.3,28.4,4,8.5
abbreviation,abreviación,,cognates,noun,language_communication,1325,1659,0.636,0.75,5,12,3.86,2,63.4,21.5,19.3,5.7,17
abdominoplasty,abdominoplastia,,cognates,noun,health_medicine,1960,1975,0.917,0.867,4,14,5.68,1,70.7,19.3,28.4,4,19
aberration,aberración,,cognates,noun,emotions_psychology,1300,1556,0.6,0.8,4,10,4.02,3,61,19.3,20.1,6.9,14.7
ability,habilidad,,cognates,noun,emotions_psychology,1325,1542,0.5,0.556,4,7,2.04,2,45.6,19.3,10.2,5.7,10.4
ablution,ablución,,cognates,noun,religion_spirituality,1325,1681,0.6,0.75,2,8,4.89,1,53.6,13.2,24.5,4,12
abnormality,anomalía,,cognates,noun,health_medicine,1846,1545,0.455,0.545,5,11,4.11,4,65.9,21.5,20.5,8,15.9
abolition,abolición,,cognates,noun,values_ethics,1500,1556,0.667,0.778,4,9,3.49,1,54.2,19.3,17.5,4,13.4
abolitionism,abolicionismo,,cognates,noun,values_ethics,1800,1841,0.8,0.846,6,12,4.97,1,69.2,23.4,24.9,4,17
